Name of Song,Tempo of Song,Tempo of First 30 Seconds,Tempo of Last 30 Seconds,Length of Song,Pitch of First 30 Seconds,Pitch of Last 30 Seconds,Average Pitch of Song,Starting Heart Rate,Ending Heart Rate
Baahubali_2_Video_Songs_Telugu_Oka_Pranam_Video_Song_Prabhas_Anushka_Bahubali_Video_Songs.mp3,78.30255681818181,78.30255681818181,78.30255681818181,148.3522902494331,11.860669,11.860669,11.860669,,
BLACKPINK_-_Kill_This_Love_MV.mp3,129.19921875,129.19921875,129.19921875,193.61963718820863,64.03441,64.03441,64.03441,,
BTS__Dynamite_Official_MV.mp3,112.34714673913044,112.34714673913044,112.34714673913044,223.35274376417235,22.573969,22.573969,22.573969,,
Carlos_Baute_-_Colgando_en_tus_manos_con_Marta_Sanchez.mp3,117.45383522727273,117.45383522727273,117.45383522727273,234.04557823129252,18.650333,18.650333,18.650333,,
Dan_Shay_-_From_the_Ground_Up_Lyric_Video.mp3,151.99908088235293,151.99908088235293,151.99908088235293,251.0309297052154,15.755954,15.755954,15.755954,,
Finnel_-_Dorfkinder_prod._by_Stard_Ova.mp3,143.5546875,143.5546875,143.5546875,148.7702947845805,17.42903,17.42903,17.42903,,
Foo_Fighters_-_The_Pretender.mp3,86.1328125,86.1328125,86.1328125,270.28031746031746,51.61335,51.61335,51.61335,,
Inthandham_Video_Song_-_Sita_Ramam_Telugu_Dulquer_Mrunal_Vishal_Hanu_Raghavapudi.mp3,99.38401442307692,99.38401442307692,99.38401442307692,241.41791383219956,11.640877,11.640877,11.640877,,
PSY_-_GANGNAM_STYLE_MV.mp3,129.19921875,129.19921875,129.19921875,252.1687074829932,21.896006,21.896006,21.896006,,
Tunak_Tunak_Tun_Video_Daler_Mehndi_Full_Song_Daler_Mehndi_Music.mp3,151.99908088235293,151.99908088235293,151.99908088235293,256.4180045351474,32.303936,32.303936,32.303936,,
Baahubali_2_Video_Songs_Telugu_Oka_Pranam_Video_Song_Prabhas_Anushka_Bahubali_Video_Songs.mp3,78.30255681818181,78.30255681818181,78.30255681818181,148.3522902494331,11.860669,11.860669,11.860669,,
BLACKPINK_-_Kill_This_Love_MV.mp3,129.19921875,129.19921875,129.19921875,193.61963718820863,64.03441,64.03441,64.03441,,
BTS__Dynamite_Official_MV.mp3,112.34714673913044,112.34714673913044,112.34714673913044,223.35274376417235,22.573969,22.573969,22.573969,,
Carlos_Baute_-_Colgando_en_tus_manos_con_Marta_Sanchez.mp3,117.45383522727273,117.45383522727273,117.45383522727273,234.04557823129252,18.650333,18.650333,18.650333,,
Dan_Shay_-_From_the_Ground_Up_Lyric_Video.mp3,151.99908088235293,151.99908088235293,151.99908088235293,251.0309297052154,15.755954,15.755954,15.755954,,
Finnel_-_Dorfkinder_prod._by_Stard_Ova.mp3,143.5546875,143.5546875,143.5546875,148.7702947845805,17.42903,17.42903,17.42903,,
Foo_Fighters_-_The_Pretender.mp3,86.1328125,86.1328125,86.1328125,270.28031746031746,51.61335,51.61335,51.61335,,
Inthandham_Video_Song_-_Sita_Ramam_Telugu_Dulquer_Mrunal_Vishal_Hanu_Raghavapudi.mp3,99.38401442307692,99.38401442307692,99.38401442307692,241.41791383219956,11.640877,11.640877,11.640877,,
PSY_-_GANGNAM_STYLE_MV.mp3,129.19921875,129.19921875,129.19921875,252.1687074829932,21.896006,21.896006,21.896006,,
Tunak_Tunak_Tun_Video_Daler_Mehndi_Full_Song_Daler_Mehndi_Music.mp3,151.99908088235293,151.99908088235293,151.99908088235293,256.4180045351474,32.303936,32.303936,32.303936,,
Baahubali_2_Video_Songs_Telugu_Oka_Pranam_Video_Song_Prabhas_Anushka_Bahubali_Video_Songs.mp3,78.30255681818181,78.30255681818181,78.30255681818181,148.3522902494331,11.860669,11.860669,11.860669,,
BLACKPINK_-_Kill_This_Love_MV.mp3,129.19921875,129.19921875,129.19921875,193.61963718820863,64.03441,64.03441,64.03441,,
BTS__Dynamite_Official_MV.mp3,112.34714673913044,112.34714673913044,112.34714673913044,223.35274376417235,22.573969,22.573969,22.573969,,
Carlos_Baute_-_Colgando_en_tus_manos_con_Marta_Sanchez.mp3,117.45383522727273,117.45383522727273,117.45383522727273,234.04557823129252,18.650333,18.650333,18.650333,,
Dan_Shay_-_From_the_Ground_Up_Lyric_Video.mp3,151.99908088235293,151.99908088235293,151.99908088235293,251.0309297052154,15.755954,15.755954,15.755954,,
Finnel_-_Dorfkinder_prod._by_Stard_Ova.mp3,143.5546875,143.5546875,143.5546875,148.7702947845805,17.42903,17.42903,17.42903,,
Foo_Fighters_-_The_Pretender.mp3,86.1328125,86.1328125,86.1328125,270.28031746031746,51.61335,51.61335,51.61335,,
Inthandham_Video_Song_-_Sita_Ramam_Telugu_Dulquer_Mrunal_Vishal_Hanu_Raghavapudi.mp3,99.38401442307692,99.38401442307692,99.38401442307692,241.41791383219956,11.640877,11.640877,11.640877,,
PSY_-_GANGNAM_STYLE_MV.mp3,129.19921875,129.19921875,129.19921875,252.1687074829932,21.896006,21.896006,21.896006,,
Tunak_Tunak_Tun_Video_Daler_Mehndi_Full_Song_Daler_Mehndi_Music.mp3,151.99908088235293,151.99908088235293,151.99908088235293,256.4180045351474,32.303936,32.303936,32.303936,,
